id;label;function;year;place_print
437;Benedictus van Ryneveld;Auteur;;
438;Helena Linklaan;Auteur;;
439;Wynant Linklaan;Auteur;;
440;Johannes Bremer & Katharina van der Hoeff;Bruidspaar;1726;
441;Nicolaas Cornelis Hasselaer & Anna Divera Kick;Bruidspaar;1726;
442;Jacobus van der Strengh & Sara Goris;Bruidspaar;1727;
443;Adriaan Hoppestein;Auteur;;
444;Abraham Bógaert;Auteur;;
445;Philip Zweerts;Auteur;;
446;J.W. Hazebroek;Auteur;;
447;Cornelis van der Strengh;Auteur;;
448;Leonard Goris;Auteur;;
449;Pieter Langendyk & Johannetta Maria Sennepart;Bruidspaar;1727;
450;G.P. Swertner;Auteur;;
451;Pieter Teyler van der Hulst & Helena Wynands Verschaave;Bruidspaar;1728;
452;Albert ten Wolden & Alida Hout;Bruidspaar;1728;
453;Johannes Léser;Auteur;;
454;Jakobus V.G. Dykhof;Auteur;;
455;Pieter (Jr) Merkman & Anna Katharina Kimmel;Bruidspaar;1728;
456;Pieter Merkman (Jr);Auteur;;
457;Lucas Merens & Eva Maria van Foreest;Bruidspaar;1728;
458;Fredrick Slob;Auteur;;
459;Johannes Erhard;Auteur;;
460;P. Wesel;Auteur;;
461;Pieter Matthias Bartels & Petronella Elizabeth van Uchelen;Bruidspaar;1728;
462;Toussaint A.M.D.R.;Auteur;;
463;Guiliam F.K. Domis;Auteur;;
464;Abraham Gallé & Helena van Aalst;Bruidspaar;1729;
465;Otto Buck & Maria Sixti;Bruidspaar;1729;
466;Bernard te Linteloo;Auteur;;
467;Nicolaas Doekscheer & Elisabeth Groen;Bruidspaar;1729;
468;Caspar Reek;Auteur;;
469;F.D.L.;Auteur;;
470;Koenraad Groenewoud & Joanna Hilverdink;Bruidspaar;1729;
471;T. Selgersma;Auteur;;
472;Franciscus Dryfhout & Judith Helena d' Outrein;Bruidspaar;1729;
473;Tobias Schryver & Rebekka Nieuwenhuis;Bruidspaar;1729;
474;Jacobus Vieroot & Anna Rebecca van Dooreslaer;Bruidspaar;1730;
475;Hendrik Vieroot;Auteur, Drukker;;
476;Johannes van Dooreslaer;Auteur;;
477;Lodewyk Bruyning;Auteur;;
478;Hendrik Smets;Auteur, Drukker;;
479;Pieter Pietersz de Wolf & Ursula van Meekeren;Bruidspaar;1730;
480;Daniel van Damme & Maria Warnier;Bruidspaar;1731;
481;Arnold Willis;Auteur, Drukker;;
482;Jan van Damme;Auteur, Drukker;;
483;Aegidius Stokmans & Maria van Dale;Bruidspaar;1732;
484;Isaac Stokmans;Auteur, Drukker;;
485;Aubin Estienne Nepveu & Marie Goutelle;Bruidspaar;1732;
486;Damon;Auteur;;
487;Hendrik Clermont & Anna Jakoba Maria Ofze;Bruidspaar;1733;
488;Abraham de Haen (1707-1748) & Katharina van Hoek;Bruidspaar;1734;
489;Evert Claver & Magdalena Lulofs;Bruidspaar;1734;
490;Helena Claver;Auteur;;
491;Jannetje Claver;Auteur;;
492;Willem Hiddinck;Auteur;;
493;Jan Gerard de Wys & Constantia Maria Looten;Bruidspaar;1735;
494;Pieter Poeraet;Auteur;;
495;Joannes van Herwerden;Auteur;;
496;Gerard Post & Jozina Stam;Bruidspaar;1738;
497;Willem Henskes & Susanna Lemmers;Bruidspaar;1738;
498;Roeloff Woudman;Auteur;;
499;Jan Lemmers;Auteur;;
500;Petrus Burman (1713-1778) & Maria Elisabeth van der Strengh;Bruidspaar;1740;
501;Gerardus Schroder;Auteur;;
502;Jacob Fabrice Burman;Auteur;;
503;Gerard Winter & Aletta Maria Duyvensz;Bruidspaar;1744;
504;Gerardus M.J.S. Noest;Auteur;;
505;Abraham Jansz Clemens & Esther Geertruid Schelte;Bruidspaar;1744;
506;Jan de Kruyff & Anna Wibrandina Tiboel;Bruidspaar;1750;
507;Harmanus Asschenbergh;Auteur;;
508;Pieter Huisinga Bakker;Auteur;;
509;Pieter Meyer;Auteur, Drukker;;
510;Wilhelm Musketier;Auteur;;
511;Jan Althuysen;Auteur;;
512;Gerrit Prasse & Geertruid Hartman;Bruidspaar;1751;
513;Maria Hartman;Auteur;;
514;Johannes Marshoorn;Auteur, Drukker;;
515;Oene Gosses van Kammen & Wopkje Uilkes de Vries;Bruidspaar;1754;
516;Rinnardus Heimans;Auteur;;
517;Etienne Constantin Duclos de Somerij & Jacoba Clara Anna Elisabeth Clyburg;Bruidspaar;1724;
518;Gijsbert Tysens;Auteur;;
519;Jacob Clyburg;Auteur;;
520;George Wetstein;Auteur;;
521;Antoine Augustin Bruzen la Martiniere;Auteur;;
522;Pieter Cos & Cornelia Deelitsch;Bruidspaar;1758;
523;Robert Drayer;Auteur;;
524;Fredrik Adolph van der Marck & A van der Horst;Bruidspaar;1752;
525;Everardus Joannes Ammon;Auteur;;
526;Wilhelm Jacob Allardt;Auteur;;
527;Cornelis van Arrewyne & Maria Beukelaar;Bruidspaar;;
528;Johanna van Arrewyne;Auteur;;
529;Marten Smets;Auteur, Drukker;;
530;Jakob Marinus de Beaufort & Barbara Theodora Boddaert;Bruidspaar;1758;
531;Pieter Anthony de Huybert;Auteur;;
532;Jacques Menninga & Elyzabet Heilman;Bruidspaar;;
533;Gerardus Outhof;Auteur;;
534;Bruno Le Brun & Anna Heilman;Bruidspaar;1729;
535;Wilhelm Otto Reitz;Auteur;;
536;Jacques Crenier & Louisa Sabina Renaud;Bruidspaar;;
537;Willem van Swaanenburg;Auteur;;
538;Daniel Collin & Anna Renaud;Bruidspaar;1725;
539;Roelandus van Thiel & Helena Ryser;Bruidspaar;;
540;Simon Ryser;Auteur;;
541;Jan Arnold van Orsoy;Auteur;;
542;Reyer van Bleiswyk & Maria Ryser;Bruidspaar;1731;
543;Gillis Booner & Cornelia Brandt;Bruidspaar;1677;
544;Joannes G.L. Brandt;Auteur;;
545;Herman van Gelé & Elisabeth Vingerhoedt;Bruidspaar;;
