0;Jaar;Bruidegom;Bruid;Bruidspaar;Drukker;Plaats;Auteur1;Auteur2;Auteur3;Auteur4;Auteur5;Auteur6;Auteur7;Auteur8;Auteur9;Auteur10;Auteur11;Auteur12;Auteur13;Auteur14;Auteur15;Auteur16;Auteur17;Auteur18;Auteur19;Auteur20;Auteur21;Auteur22
77;1705;Pieter Spranger;Alida Schippers;Pieter Spranger & Alida Schippers;;;Dirk Spranger ;;;;;;;;;;;;;;;;;;;;;
78;1720;Jacob van Heule;Lidia Swart;Jacob van Heule & Lidia Swart;;Rotterdam;Jan Goeree ;;;;;;;;;;;;;;;;;;;;;
79;1725;Aarnout Aarnoutsz Clignet;Katharina Gasparine van der Meulen;Aarnout Aarnoutsz Clignet & Katharina Gasparine van der Meulen;Jan van Damme;;David van Hoogstraten ;Philadelphus;C.H.;A.S.;;;;;;;;;;;;;;;;;;
80;1713;Joan Babtista van der Wiellen;Alida Clara van Gerwen;Joan Babtista van der Wiellen & Alida Clara van Gerwen;Jan van Damme;Amsterdam;Johannes Schroder ;Felix de Klopper ;;;;;;;;;;;;;;;;;;;;
81;1713;Dirck Gallis;Johanna Backer;Dirck Gallis & Johanna Backer;Reinier Beukelman;Amsterdam;G.V.B.;;;;;;;;;;;;;;;;;;;;;
82;1695;Abraham van Limburg;Margareta Blaaupot;Abraham van Limburg & Margareta Blaaupot;Boeteman;Amsterdam;Anthony Jansen ;;;;;;;;;;;;;;;;;;;;;
83;1695;Abraham van Limburg;Margareta Blaaupot;Abraham van Limburg & Margareta Blaaupot;Boeteman;Amsterdam;;;;;;;;;;;;;;;;;;;;;;
84;1698;Joan Pet;Maria Schevenhuysen;Joan Pet & Maria Schevenhuysen;Pieter Baars;;A. Tegulaar ;Vroutje Pieters ;H. van der Vyver ;H.S.;;;;;;;;;;;;;;;;;;
85;1699;Johannes Terwen;Christina Antwerpen;Johannes Terwen & Christina Antwerpen;Jan van Damme;Nijmegen;D. Westerbaen ;;;;;;;;;;;;;;;;;;;;;
86;1725;Hendrik van II Damme;Anna Kassies;Hendrik van II Damme & Anna Kassies;Jan van Damme;Rotterdam;Daniel van Damme ;Jan van Damme ;P. van Dalen ;Jan Hoogeveen (1671-1730) ; B.V.A.;;;;;;;;;;;;;;;;;
87;1700;Theodorus van Foreest;Eva Maria de Groot;Theodorus van Foreest & Eva Maria de Groot;Adriaan Beverwyck;Utrecht;J. van Hoolwerff ;Jacob van der Vorm ;Joannes ten Thye ;;;;;;;;;;;;;;;;;;;
88;1704;Bastiaen Molewater;Magdalena Blockhuys;Bastiaen Molewater & Magdalena Blockhuys;Elias Yvans;Amsterdam;A. de Sterke ;;;;;;;;;;;;;;;;;;;;;
89;1668;Constantijn Huygens (1628-1697);Susanna Ryckerts;Constantijn Huygens (1628-1697) & Susanna Ryckerts;Christoffel II Doll;Amsterdam;Dirk van Leyden van Leeuwen ;;;;;;;;;;;;;;;;;;;;;
90;1719;Arnoldus Commelin;Susanna Catharina Homoet;Arnoldus Commelin & Susanna Catharina Homoet;Hermanus Ackerman;Amsterdam;J. Dull ;;;;;;;;;;;;;;;;;;;;;
91;1681;Antoni Blok;Agneta Blok;Antoni Blok & Agneta Blok;Boeteman;Amsterdam;Anthony Jansen ;;;;;;;;;;;;;;;;;;;;;
92;1693;Antoni van Maurik;Geertruid van Duisburg;Antoni van Maurik & Geertruid van Duisburg;Boeteman;Amsterdam;Anthony Jansen ;;;;;;;;;;;;;;;;;;;;;
93;1697;Jacob van Hoek;Sara d' Vogel;Jacob van Hoek & Sara d' Vogel;Hendrik van I (wed) Damme;Amsterdam;P.S.;;;;;;;;;;;;;;;;;;;;;
94;1697;Abraham van Aardenberg;Louisa van Wesseling;Abraham van Aardenberg & Louisa van Wesseling;Johannes van Aardenberg;Amsterdam;Jan Goeree ;J. de Roode ;;;;;;;;;;;;;;;;;;;;
95;1697;Joannes Boelema;Geertruid van der Lip;Joannes Boelema & Geertruid van der Lip;Boeteman;Arnhem;J. de Roode ;Regnerus de Lover ;;;;;;;;;;;;;;;;;;;;
96;1699;Arnoud van Haalen;Margareta Rooleeuw;Arnoud van Haalen & Margareta Rooleeuw;Boeteman;Amsterdam;Eduard Feitama ;Isaac Feitama ;;;;;;;;;;;;;;;;;;;;
97;1699;Johannes Hermansz;Maria van den Burgh;Johannes Hermansz & Maria van den Burgh;Willem de Coup;;D.D.R.;;;;;;;;;;;;;;;;;;;;;
98;1699;Johannes Hermansz;Maria van den Burgh;Johannes Hermansz & Maria van den Burgh;Andries van Damme;Amsterdam;Hendrik Hermansz ;;;;;;;;;;;;;;;;;;;;;
99;1700;Jacob Pietersz van Neelen;Belia Brouwer;Jacob Pietersz van Neelen & Belia Brouwer;Gerardus I Borstius;Amsterdam;Jacob Jacobsz van Neelen ;;;;;;;;;;;;;;;;;;;;;
100;1701;Frederik Montanus;Anna Cornelia Blom;Frederik Montanus & Anna Cornelia Blom;Willem (wed) Clerck;Amsterdam;Joannes Ubelman ;Cornelis van Walcheren ;;;;;;;;;;;;;;;;;;;;
101;1701;David Leeuw;Kornelia Hooft;David Leeuw & Kornelia Hooft;Arentsz;Amsterdam;Isaac Feitama ;Eduard Feitama ;;;;;;;;;;;;;;;;;;;;
102;1703;Jan Bronkhorst;Geertruid Blaaupot;Jan Bronkhorst & Geertruid Blaaupot;Arentsz;Amsterdam;Adriaan Spinniker ;Daniel Willink ;Gerrit Fortgens ;;;;;;;;;;;;;;;;;;;
