0;Jaar;Bruidegom;Bruid;Bruidspaar;Drukker;Plaats;Auteur1;Auteur2;Auteur3;Auteur4;Auteur5;Auteur6;Auteur7;Auteur8;Auteur9;Auteur10;Auteur11;Auteur12;Auteur13;Auteur14;Auteur15;Auteur16;Auteur17;Auteur18;Auteur19;Auteur20;Auteur21;Auteur22
2007;1720;Adriaan Prins;Elizabeth Schepers;Adriaan Prins & Elizabeth Schepers;Arnold Willis;Amsterdam;Frans Greenwood ;Arnold Willis ;;;;;;;;;;;;;;;;;;;;
2008;1724;Daniel van Leeuwen;Elizabeth de Vogel;Daniel van Leeuwen & Elizabeth de Vogel;Arnold Willis;;Arnold Nachtegael Klemens ;K. Bogaert ;M. de Vos ;Gerardus van Wiert ;Eduard van Nikkelen ;;;;;;; ;;;;;;;;;;
2009;1728;Fredrik Wilkens;Anna Margareta Goll;Fredrik Wilkens & Anna Margareta Goll;Arnold Willis;Amsterdam;Jan van Hoogstraten ;Kornelis van Koeverden ;Nikolaes Versteeg ;Arnold Willis ;Cornelis van der Pot (1707-1728) ;A.W.H.;;;;;;;;;;;;;;;;
2010;1730;Izaak Hope;Maria van Vlierden;Izaak Hope & Maria van Vlierden;Arnold Willis;Brielle;Arnold Willis ;Pieter Langendyk ;Jacobus Targier ;Simon Doekes ;Nikolaes A.H. Versteeg ;Jan van Hoogstraten ;;;;;; ;;;;;;;;;;
2011;1731;Jan van Boedonk;Apolonia Bosch;Jan van Boedonk & Apolonia Bosch;Arnold Willis;Leiden;Adriaan van der Vliet ;Kornelis van Koeverden ;Arnold Willis ;; ;;;;;;;;;;;;;;;;;
2012;1753;Philippus Douw;Johanna Gerbrandina Boursse;Philippus Douw & Johanna Gerbrandina Boursse;Anthony de Winter;;Rasmus Winthuysen ;;;;;;;;;;;;;;;;;;;;;
2013;1752;Johan (jr) Heinius;Engelina Hoffham;Johan (jr) Heinius & Engelina Hoffham;Johann Christian Winter;Utrecht;Johann Valentin Neuber ;;;;;;;;;;;;;;;;;;;;;
2014;1734;Andries Boekwalt;Anna Staffelt;Andries Boekwalt & Anna Staffelt;Klaas de Wit;Amsterdam;A. van D.G. Puttelaar ;R.A. Hoyman ;;;;;;;;;;;;;;;;;;;;
2015;1731;Willem Huisinga van Vliet;Adriana Katharina Schuyl;Willem Huisinga van Vliet & Adriana Katharina Schuyl;Abram Witbols;;Johannes Huisinga ;Jan van der Souw ;Wyva Agneta Driessen ;;;;;;;;;;;;;;;;;;;
2016;1750;Assuerus Issendorp;Johanna Graan;Assuerus Issendorp & Johanna Graan;Joris van der Woude;Amsterdam;Hendrik Assuerusz Issendorp ;François Issendorp ;Assuerus Issendorp ;;;;;;;;;;;;;;;;;;;
2017;1722;Andries Koek;Cornelia van Arp;Andries Koek & Cornelia van Arp;Joris van der Woude;;Michiel Koek ;Dirk Besselink ;;;;;;;;;;;;;;;;;;;;
2018;1731;Abraham Vos;Johanna van Neercassel;Abraham Vos & Johanna van Neercassel;Joris van der Woude;;;;;;;;;;;;;;;;;;;;;;;
2019;1732;Floris Bontekoning;Catharina Makreel;Floris Bontekoning & Catharina Makreel;Joris van der Woude;Den Haag;Robbert Makreel ;Anthony de Harde ;Dirk Dirksz Makreel ;J.W. Hazebroek ;F.D.H.I.;I.W.;Hendrik Tadee ;;;; ; ;;;;;;;;;;
2020;1742;Willem van Rensselaar;Cornelia Judith Cramer;Willem van Rensselaar & Cornelia Judith Cramer;Joris van der Woude;Amsterdam;Hendrik Willem Cramer ;Antony van (Jr) Rensselaar ;François Wilhem Westerhout ;Paulus Jansz Wenkink ;Johannes Vallee ;;;;;;; ;;;;;;;;;;
2021;1744;David van Oostrum;Margareta Berck;David van Oostrum & Margareta Berck;Joris van der Woude;Amsterdam;Jan Simons ;François Berck ;Jacobus Egeling ;Joris van der Woude ;D.D.Jz Geniets ;;;;;;; ;;;;;;;;;;
2022;1745;Johannes Georgius Welman;Willemina Paulina Guillermet;Johannes Georgius Welman & Willemina Paulina Guillermet;Joris van der Woude;Haarlem;Johanna Cornelia van Overveld ;Jacobus van der Strengh ;Henrick Raket ;Hendrik Kroon ;Jan Vos (18e eeuw);L.V.S.;Joannes Barnard Raems ;Hs Baalman ;Joris van der Woude ;;;;;;;;;;;;;
2023;1746;Hendrik Willem Cramer;Catharina Luykink;Hendrik Willem Cramer & Catharina Luykink;Joris van der Woude;Amsterdam;Petrus Fredriksz Cramer ;Jan Koekebakker ;Adriaan Koekebakker ;A. Cramer ;Daniël de Burlett ;J.O.;R. Blok ;E.M.D.B.;Elisabeth Koekebakker ;Hendrik Das ;Joris van der Woude ;;;;;;;;;;;
2024;1747;Jan Hottentot;Helena Catharina de Bruyn;Jan Hottentot & Helena Catharina de Bruyn;Joris van der Woude;Rotterdam;C. Hottentot ;P. Reiersz ;Joris van der Woude ;;;;;;;;;;;;;;;;;;;
2025;1750;Johan Walraaven Hoffmann;Johanna Theodora van der Meer;Johan Walraaven Hoffmann & Johanna Theodora van der Meer;Joris van der Woude;Rotterdam;Jan Fransz Rigail ;Willem Sobbe ;Willem Sobbe ;J. van der Wouw ;Saartje van der Meer ;Joris van der Woude ; ; ;;;;;;;;;;;;;;
2026;1752;Johan (jr) Heinius;Engelina Hoffham;Johan (jr) Heinius & Engelina Hoffham;Joris van der Woude;Haarlem;J.J. Wulfing ;Hendrik Hoffham ;Johan Peter Heinius ;Joan Willem Hachmeester ;Jurgen Hartgers Hachmeester ;Jan Asschenberg ;J.S.Mz;Jacob Lutkeman ;G. de Jong ;Justina Nucella ;Johannes Meyer ;Joris van der Woude ;;;;;;;;;;
2027;1691;Philippus van der Hoeven;Anna Verwey;Philippus van der Hoeven & Anna Verwey;Gerard van Wyen;Utrecht;;;;;;;;;;;;;;;;;;;;;;
2028;1704;Johannes Barnardus Faneuil;Susanna Huys;Johannes Barnardus Faneuil & Susanna Huys;Elias Yvans;Amsterdam;A. de Sterke ;;;;;;;;;;;;;;;;;;;;;
2029;1708;Jacob van Herselen;Catharina Maria Opdecamp;Jacob van Herselen & Catharina Maria Opdecamp;Elias Yvans;Amsterdam;Arnold Hoogvliet ;;;;;;;;;;;;;;;;;;;;;
2030;1731;Albertus Hodshon;Johanna van der Hoeff;Albertus Hodshon & Johanna van der Hoeff;;Amsterdam;Pieter Langendyk ;;;;;;;;;;;;;;;;;;;;;
2031;1709;Matthys Houbakker;Agneta Kille;Matthys Houbakker & Agneta Kille;;;Jan Baptista Wellekens ;Lucas Schermer ;Jan Geldorp ;Claas Bruin ;Joannes Houbakker ;;;;;;;;;;;;;;;;;
2032;1711;Pieter de La Court van der Voort;Sara Poelaert;Pieter de La Court van der Voort & Sara Poelaert;;;Georgius van Zonhoven ;;;;;;;;;;;;;;;;;;;;;
2033;1713;Hendrik Verryn;Geertruid van Wieringen;Hendrik Verryn & Geertruid van Wieringen;;Amsterdam;Wilhelmus Lomannus ;Paulus Hendriksz Verryn ;Claas Bruin ;;;;;;;;;;;;;;;;;;;
2034;1723;Jan Outman;Oeda Goemaat;Jan Outman & Oeda Goemaat;;Amsterdam;Pieter Langendyk ;;;;;;;;;;;;;;;;;;;;;
2035;1735;Arent van Dalen;Katarina de Remaux;Arent van Dalen & Katarina de Remaux;;Amsterdam;Pieter Langendyk ;;;;;;;;;;;;;;;;;;;;;
2036;1738;Johan Heinius;Elisabeth van Marienhoff;Johan Heinius & Elisabeth van Marienhoff;;Amsterdam;Pieter Heinius ;;;;;;;;;;;;;;;;;;;;;
2037;1740;Benjamin Winter;Katharina Melkpot;Benjamin Winter & Katharina Melkpot;;Amsterdam;Gerard Winter ;C. van Davervelt ;Jacobus van der Strengh ;; ;;;;;;;;;;;;;;;;;
2038;1748;Pieter van Lelyveld;Maria de Wit;Pieter van Lelyveld & Maria de Wit;;Amsterdam;Paulus van Lelyveld ;Pieter van (Jr) Lelyveld ;Wilhelmus van den Broek ;Paulus Wz van Lelyveld ;Frans van Lelyveld ;;;;;;;;;;;;;;;;;
2039;1755;Jan Bernard van Steinen;Catharina van Onnen;Jan Bernard van Steinen & Catharina van Onnen;;Ternaard;J.D. van Steinen ;;;;;;;;;;;;;;;;;;;;;
2040;1757;David Eckhardt;Maria van Broekhuysen;David Eckhardt & Maria van Broekhuysen;;;David Eckhardt (Jr) ;Augustinus Eckhardt ;W.H. Dregman ;;;;;;;;;;;;;;;;;;;
2041;1706;Arent Kampen;Belitje Lourens;Arent Kampen & Belitje Lourens;;Amsterdam;Jacobus Dop ;;;;;;;;;;;;;;;;;;;;;
2042;1723;Paulus Poursoy;Maria Felbier;Paulus Poursoy & Maria Felbier;;Amsterdam;Pieter Langendyk ;;;;;;;;;;;;;;;;;;;;;
2043;1613;Dierick Hoste;Joanna des Maistres;Dierick Hoste & Joanna des Maistres;;Amsterdam;;;;;;;;;;;;;;;;;;;;;;
2044;1613;Dierick Hoste;Joanna des Maistres;Dierick Hoste & Joanna des Maistres;;Amsterdam;;;;;;;;;;;;;;;;;;;;;;
2045;1676;Isacq van den Bergh;Cornelia Ouzeel;Isacq van den Bergh & Cornelia Ouzeel;;Amsterdam;;;;;;;;;;;;;;;;;;;;;;
2046;1687;Gysbartus Fredericus Buys;Maria Hamerslag;Gysbartus Fredericus Buys & Maria Hamerslag;;Utrecht;I. N.S. Buys ;;;;;;;;;;;;;;;;;;;;;
2047;1706;Aarnoud Stokkelaar;Belida Kleinschol;Aarnoud Stokkelaar & Belida Kleinschol;;Amsterdam;Claas Bruin ;;;;;;;;;;;;;;;;;;;;;
2048;1707;Jacob Slagregen;Agata van Gent;Jacob Slagregen & Agata van Gent;;Amsterdam;Jan Baptista Wellekens ;;;;;;;;;;;;;;;;;;;;;
2049;1709;Benedictus van Ryneveld;Johanna Veen;Benedictus van Ryneveld & Johanna Veen;;Gouda;Enoch Linklaan Krook ;Willem van der Hoeven ;;;;;;;;;;;;;;;;;;;;
2050;1710;Marinus van Hoeke;Margareta Raillard;Marinus van Hoeke & Margareta Raillard;;;Everhard Kraeyvanger ;;;;;;;;;;;;;;;;;;;;;
2051;1711;Arnoldus Fabritius;Andrea Kok;Arnoldus Fabritius & Andrea Kok;;Schipluiden;;;;;;;;;;;;;;;;;;;;;;
2052;1712;Jan Walyen;Susanna Welsingh;Jan Walyen & Susanna Welsingh;;Amsterdam;;;;;;;;;;;;;;;;;;;;;;
2053;1713;Hermanus Burghorst;Alida van Tarelink;Hermanus Burghorst & Alida van Tarelink;;Amsterdam;;;;;;;;;;;;;;;;;;;;;;
2054;1713;Willem Cramer;Maria Vermeulen;Willem Cramer & Maria Vermeulen;;'s-Graveland;Willem van der Hoeven ;;;;;;;;;;;;;;;;;;;;;
2055;1713;Hendrik Hagen;Anna van Anklam;Hendrik Hagen & Anna van Anklam;;'s-Graveland;Pieter Langendyk ;;;;;;;;;;;;;;;;;;;;;
2056;1716;Abraham van Heusden;Henderina Schipper;Abraham van Heusden & Henderina Schipper;;Abcoude;Bernardus van Gerrevink ;;;;;;;;;;;;;;;;;;;;;
2057;1716;Jan Izaaksz van Gelein;Maria Elizabet Ryken;Jan Izaaksz van Gelein & Maria Elizabet Ryken;;Amsterdam;Kornelis Willemsz Westerbaen ;;;;;;;;;;;;;;;;;;;;;
2058;1717;Abraham Jacob Schluiter;Katharina Geertruid d' Outrein;Abraham Jacob Schluiter & Katharina Geertruid d' Outrein;;;Fransina Jacoba Coets geb. van Westrem ;Jan Frederik Teeckman ;Nicolaas Simon van Leeuwaarden ;Daniel Willink ;C. Biben ;Johannes d'Outrein ;;;;;;;;;;;;;;;;
2059;1718;Gillis Buys;Cornelia van Veen;Gillis Buys & Cornelia van Veen;;Amsterdam;Jacob van Veen ;Jan van Hoogstraten ;David van Hoogstraten ;Willem van der Hoeven ;;;;;;;;;;;;;;;;;;
2060;1719;Mattheus de Jager;Catharina Calkoen;Mattheus de Jager & Catharina Calkoen;;;Jan Baptista Wellekens ;;;;;;;;;;;;;;;;;;;;;
2061;1719;Hendrik Bodisco;Jacomina Gallard;Hendrik Bodisco & Jacomina Gallard;;;P. Struyk ;;;;;;;;;;;;;;;;;;;;;
2062;1720;Nicolaas van Loenen;Maria Craandyk;Nicolaas van Loenen & Maria Craandyk;;;Pieter Langendyk ;;;;;;;;;;;;;;;;;;;;;
2063;1720;Justus de Veer;Catharina Bruynvis;Justus de Veer & Catharina Bruynvis;;;David van Hoogstraten ;Jacob van Veen ;;;;;;;;;;;;;;;;;;;;
2064;1720;Frans van de Wall;Geertruid Deym;Frans van de Wall & Geertruid Deym;;Amsterdam;Pieter Vlaming ;;;;;;;;;;;;;;;;;;;;;
2065;1720;Frans van de Wall;Geertruid Deym;Frans van de Wall & Geertruid Deym;;Amsterdam;Balthazar Huydecoper ;;;;;;;;;;;;;;;;;;;;;
2066;1721;Engelbert Clumper;Alida Maria van Dorsten;Engelbert Clumper & Alida Maria van Dorsten;;Amsterdam;Dirk Clumper ;Claas Bruin ;;;;;;;;;;;;;;;;;;;;
2067;1721;Pieter Muyser;Alida de Vries;Pieter Muyser & Alida de Vries;;Rotterdam;Jan Baptista Wellekens ;Claas Bruin ;;;;;;;;;;;;;;;;;;;;
2068;1721;François Straalman;Margareta Kops;François Straalman & Margareta Kops;;Delft;Pieter Langendyk ;;;;;;;;;;;;;;;;;;;;;
2069;1721;Pieter Verduyn;Johanna van Leeuwen;Pieter Verduyn & Johanna van Leeuwen;;Gorinchem;Willem van der Hoeven ;Claas J.V. Bruin ;Adriaan de Kramer ;Harmanus Meyer ;;Pieter Langendyk ;Evert Visscher ;;;;;;;;;;;;;;;
2070;1721;Jan Koenerding;Adriana van Hoorn;Jan Koenerding & Adriana van Hoorn;;Rotterdam;Jan Baptista Wellekens ;;Jan van Dinteren ;;;;;;;;;;;;;;;;;;;
2071;1721;Joan Lubeex;Johanna de Jong;Joan Lubeex & Johanna de Jong;;Den Haag;Izaak Du Sart ;Joannes Hancock ;Simon van Leeuwaarden ;Samuel Sylvius ; ;;;;;;;;;;;;;;;;;
2072;1722;Jan van Baalen;Anna Judith Scholten;Jan van Baalen & Anna Judith Scholten;;Rotterdam;Adriaan de Kramer ;Willem van der Hoeven ;Harmanus Meyer ;;;;;;;;; ;;;;;;;;;;
2073;1722;Jan van Groeningen;Maria van Boorn;Jan van Groeningen & Maria van Boorn;;;Jan Baptista Wellekens ;Claas Bruin ;Willem van der Hoeven ;;;;;;;;;;;;;;;;;;;
2074;1723;Jan Wittig;Geertruy Neder;Jan Wittig & Geertruy Neder;;Amsterdam;Kornelis Willemsz Westerbaen ;;;;;;;;;;;;;;;;;;;;;
2075;1723;Anthony Timmerman;Cornelia van Hoek;Anthony Timmerman & Cornelia van Hoek;;Rotterdam;Jan Baptista Wellekens ;Jan Geldorp ;Claas Bruin ;Pieter Langendyk ;Johannes Tideman ;;;;;;;;;;;;;;;;;
2076;1723;Frans Verryn;Clementia van den Ende;Frans Verryn & Clementia van den Ende;;Medemblik;Hubert Kornelisz Poot ;Joannes Sluyter ;Adolph Sluyter ;;;;;;;;;;;;;;;;;;;
2077;1723;Jakobus van der Hoeff;Margareta Heems;Jakobus van der Hoeff & Margareta Heems;;Amsterdam;Pieter Langendyk ;;;;;;;;;;;;;;;;;;;;;
2078;1724;Jacob van Varelen;Geertruyda de Beer;Jacob van Varelen & Geertruyda de Beer;;Amsterdam;Pieter Langendyk ;;;;;;;;;;;;;;;;;;;;;
2079;1724;Henricus Hancock;Johanna Mor;Henricus Hancock & Johanna Mor;;;Nicolaas Simon van Leeuwaarden ;Abraham van Limburg ;A. Boom ;Joannes Hancock ;Simon van Leeuwaarden ;S.S.H.;;;;;;;;;;;;;;;;
2080;1724;Petrus Smids;Margareta Engelbregt;Petrus Smids & Margareta Engelbregt;;Amsterdam;Matthaeus Brouërius van Nidek ;Claas Bruin ;Willem van der Hoeven ;Pieter Langendyk ;A. Speelman ;Govert van Mater ; D.G.;;; ;;;;;;;;;;;;
2081;1725;Balthazar Nolthenius;Johanna Boel;Balthazar Nolthenius & Johanna Boel;;Muiden;Catharina Oillaarts ;Hendrik Hendriksz Boel ;Jan Isaac Robidé ;Jan van Leeuwen ;S. van de Velde ;Abraham Titsingh ;Claas Bruin ;Jan Melchiorsz van den Bosch ;Bernardus van Gerrevink ;;;;;;;;;;;;;
2082;1725;Hendrik Hendriksz Boel;Cornelia van Leeuwen;Hendrik Hendriksz Boel & Cornelia van Leeuwen;;Amsterdam;Catharina Oillaarts ;Adrianus Molengraaf ;Jan van Leeuwen ;Willem van Doorn ;Balthazar Nolthenius ;Abraham Titsingh ;Bernardus van Gerrevink ;Enoch Krook ;Jan Isaac Robidé ;Claas Bruin ;Jan Melchiorsz van den Bosch ;Fredrik Duim ;;;;;;;;;;
2083;1725;Joannes (Jr) Linklaan;Anna Rentink;Joannes (Jr) Linklaan & Anna Rentink;;Alkmaar;Benedictus van Ryneveld ;Helena Linklaan ;Wynant Linklaan ;Willem van der Hoeven ;Claas Bruin ;Adriaan de Kramer ;;;;;;;;;;;;;;;;
2084;1726;Johannes Bremer;Katharina van der Hoeff;Johannes Bremer & Katharina van der Hoeff;;Amsterdam;Pieter Langendyk ;;;;;;;;;;;;;;;;;;;;;
2085;1726;Nicolaas Cornelis Hasselaer;Anna Divera Kick;Nicolaas Cornelis Hasselaer & Anna Divera Kick;;Rotterdam;Hubert Kornelisz Poot ;;;;;;;;;;;;;;;;;;;;;
2086;1726;Nicolaas Cornelis Hasselaer;Anna Divera Kick;Nicolaas Cornelis Hasselaer & Anna Divera Kick;;Amsterdam;Lucas Pater ;;;;;;;;;;;;;;;;;;;;;
2087;1726;Nicolaas Cornelis Hasselaer;Anna Divera Kick;Nicolaas Cornelis Hasselaer & Anna Divera Kick;;Dordrecht;;;;;;;;;;;;;;;;;;;;;;
2088;1727;Jacobus van der Strengh;Sara Goris;Jacobus van der Strengh & Sara Goris;;Amsterdam;Adriaan Hoppestein ;Abraham Bógaert ;Willem van der Hoeven ;Claas Bruin ;Pieter Langendyk ;Adriaan de Kramer ;Philip Zweerts ;J.W. Hazebroek ;Cornelis van der Strengh ;Leonard Goris ;;;;;;;;;;;;
2089;1727;Pieter Langendyk;Johannetta Maria Sennepart;Pieter Langendyk & Johannetta Maria Sennepart;;Amsterdam;G.P. Swertner ;;;;;;;;;;;;;;;;;;;;;
2090;1728;Pieter Teyler van der Hulst;Helena Wynands Verschaave;Pieter Teyler van der Hulst & Helena Wynands Verschaave;;Amsterdam;Jan Olthoff ;Pieter Langendyk ;Claas Bruin ;Govert Klinkhamer ;Govert van Mater ;;;;;;;;;;;;;;;;;
2091;1728;Albert ten Wolden;Alida Hout;Albert ten Wolden & Alida Hout;;Alkmaar;Johannes Léser ;Jakobus V.G. Dykhof ;Harmanus Meyer ;;;;;;;;;;;;;;;;;;;
2092;1728;Pieter (Jr) Merkman;Anna Katharina Kimmel;Pieter (Jr) Merkman & Anna Katharina Kimmel;;;Pieter Merkman (Jr) ;Pieter Langendyk ;Govert van Mater ;;;;;;;;;;;;;;;;;;;
2093;1728;Lucas Merens;Eva Maria van Foreest;Lucas Merens & Eva Maria van Foreest;;Amsterdam;Fredrick Slob ;Johannes Erhard ;P. Wesel ;;;;;;;;;;;;;;;;;;;
2094;1728;Pieter Matthias Bartels;Petronella Elizabeth van Uchelen;Pieter Matthias Bartels & Petronella Elizabeth van Uchelen;;Amsterdam;Toussaint A.M.D.R.;Guiliam F.K. Domis ;Pieter Langendyk ;;;;;;;;;;;;;;;;;;;
2095;1729;Abraham Gallé;Helena van Aalst;Abraham Gallé & Helena van Aalst;;Enkhuizen;Pieter Langendyk ;;;;;;;;;;;;;;;;;;;;;
2096;1729;Otto Buck;Maria Sixti;Otto Buck & Maria Sixti;;Den Haag;Bernard te Linteloo ;;;;;;;;;;;;;;;;;;;;;
2097;1729;Nicolaas Doekscheer;Elisabeth Groen;Nicolaas Doekscheer & Elisabeth Groen;;Amsterdam;J.R. van Hoolwerff ;Caspar F.D.L. Reek ;Abraham Orthographista Titsingh ;;;;;;;;;;;;;;;;;;;
2098;1729;Koenraad Groenewoud;Joanna Hilverdink;Koenraad Groenewoud & Joanna Hilverdink;;Amsterdam;Claas Bruin ;T. Selgersma ;Lambert van den Broek ;Evert Visscher ;Pieter Langendyk ;;;;;;;;;;;;;;;;;
2099;1729;Franciscus Dryfhout;Judith Helena d' Outrein;Franciscus Dryfhout & Judith Helena d' Outrein;;Amsterdam;Fransina Jacoba Coets geb. van Westrem ;Abraham van Limburg ;Adolph Sluyter ;;;;;;;;;;;;;;;;;;;
2100;1729;Tobias Schryver;Rebekka Nieuwenhuis;Tobias Schryver & Rebekka Nieuwenhuis;;Amsterdam;Pieter Langendyk ;;;;;;;;;;;;;;;;;;;;;
2101;1730;Jacobus Vieroot;Anna Rebecca van Dooreslaer;Jacobus Vieroot & Anna Rebecca van Dooreslaer;;Vlaardingen;Hendrik Vieroot ;Johannes van Dooreslaer ;Lodewyk Bruyning ;Hendrik Smets ;;;;;;;;;;;;;;;;;;
2102;1730;Pieter Pietersz de Wolf;Ursula van Meekeren;Pieter Pietersz de Wolf & Ursula van Meekeren;;Amsterdam;Isaac Verburg ;Govert Klinkhamer ;Jacobus van der Strengh ;Pieter Langendyk ;Lambert van den Broek ;Philip Zweerts ;Joannes Haverkamp ; C.L.; ;;;;;;;;;;;;;
2103;1731;Daniel van Damme;Maria Warnier;Daniel van Damme & Maria Warnier;;Hoorn;Laurens Warnier Steversloot ;Arnold Willis ;Jan van Damme ;;;;;;;;;;;;;;;;;;;
2104;1732;Aegidius Stokmans;Maria van Dale;Aegidius Stokmans & Maria van Dale;;Hoorn;Abraham Meylincq ;Isaac Stokmans ;;;;;;;;;;;;;;;;;;;;
2105;1732;Aubin Estienne Nepveu;Marie Goutelle;Aubin Estienne Nepveu & Marie Goutelle;;;Damon;;;;;;;;;;;;;;;;;;;;;
2106;1733;Hendrik Clermont;Anna Jakoba Maria Ofze;Hendrik Clermont & Anna Jakoba Maria Ofze;;Enkhuizen;;;;;;;;;;;;;;;;;;;;;;
2107;1734;Abraham de Haen (1707-1748);Katharina van Hoek;Abraham de Haen (1707-1748) & Katharina van Hoek;;Amsterdam;Pieter Langendyk ;;;;;;;;;;;;;;;;;;;;;
2108;1734;Evert Claver;Magdalena Lulofs;Evert Claver & Magdalena Lulofs;;Amsterdam;Helena Claver ;Jannetje Claver ;Jan van Leeuwen ;Balthazar Nolthenius ;Willem Hiddinck ;Pieter Langendyk ;;;;;;;;;;;;;;;;
2109;1735;Jan Gerard de Wys;Constantia Maria Looten;Jan Gerard de Wys & Constantia Maria Looten;;;Pieter Poeraet ;Joannes van Herwerden ;;;;;;;;;;;;;;;;;;;;
2110;1738;Gerard Post;Jozina Stam;Gerard Post & Jozina Stam;;Broek in Waterland;Jan Jansz Lagendaal ;;;;;;;;;;;;;;;;;;;;;
2111;1738;Willem Henskes;Susanna Lemmers;Willem Henskes & Susanna Lemmers;;Amsterdam;Roeloff Woudman ;Jan Lemmers ;Lucas Pater ;Jan Luyken ;Dirk Willink ;;;;;;;;;;;;;;;;;
2112;1740;Petrus Burman (1713-1778);Maria Elisabeth van der Strengh;Petrus Burman (1713-1778) & Maria Elisabeth van der Strengh;;Utrecht;Franciscus Burman ;Gerardus Schroder ;Jacob Fabrice Burman ;Antonius Faber ;Jan Balde ;Jacobus van der Strengh ;Gerard Winter ;Lucas Pater ;Dirk Willink ;Joannes Haverkamp ;;;;;;;;;;;;
2113;1744;Gerard Winter;Aletta Maria Duyvensz;Gerard Winter & Aletta Maria Duyvensz;;Utrecht;Gerardus M.J.S. Noest ;;;;;;;;;;;;;;;;;;;;;
2114;1744;Abraham Jansz Clemens;Esther Geertruid Schelte;Abraham Jansz Clemens & Esther Geertruid Schelte;;Deventer;;;;;;;;;;;;;;;;;;;;;;
2115;1750;Jan de Kruyff;Anna Wibrandina Tiboel;Jan de Kruyff & Anna Wibrandina Tiboel;;Leiden;Harmanus Asschenbergh ;Jan Luyken ;Ernst Willem Higt ;Pieter Langendyk ;Pieter Huisinga Bakker ;Jacob Hulk ;Pieter Meyer ;Wilhelm Musketier ;Jan Althuysen ;;;;;;;;;;;;;
2116;1751;Gerrit Prasse;Geertruid Hartman;Gerrit Prasse & Geertruid Hartman;;Rotterdam;Maria Hartman ;;;;;;;;;;;;;;;;;;;;;
2117;1751;Gerrit Prasse;Geertruid Hartman;Gerrit Prasse & Geertruid Hartman;;Rotterdam;Johannes Marshoorn ;;;;;;;;;;;;;;;;;;;;;
2118;1754;Oene Gosses van Kammen;Wopkje Uilkes de Vries;Oene Gosses van Kammen & Wopkje Uilkes de Vries;;Dordrecht;Rinnardus Heimans ;;;;;;;;;;;;;;;;;;;;;
2119;1724;Etienne Constantin Duclos de Somerij;Jacoba Clara Anna Elisabeth Clyburg;Etienne Constantin Duclos de Somerij & Jacoba Clara Anna Elisabeth Clyburg;;Amsterdam;Claas Bruin ;Gijsbert Tysens ;Jacob Clyburg ;George Wetstein ;Antoine Augustin Bruzen la Martiniere ;;;;;;;;;;;;;;;;;
2120;1758;Pieter Cos;Cornelia Deelitsch;Pieter Cos & Cornelia Deelitsch;;Amsterdam;Robert Drayer ;;;;;;;;;;;;;;;;;;;;;
2121;1752;Fredrik Adolph van der Marck;A van der Horst;Fredrik Adolph van der Marck & A van der Horst;;'s-Hertogenbosch;Everardus Joannes Ammon ;Wilhelm Jacob Allardt ;;;;;;;;;;;;;;;;;;;;
2122;;Cornelis van Arrewyne;Maria Beukelaar;Cornelis van Arrewyne & Maria Beukelaar;;Windesheim;Johanna van Arrewyne ;Claas Bruin ;Hubert Kornelisz Poot ;Adriaan de Kramer ;Abraham Titsingh ;Hendrik Smets ;Marten Smets ;Harmanus Meyer ;;;;;;;;;;;;;;
2123;1758;Jakob Marinus de Beaufort;Barbara Theodora Boddaert;Jakob Marinus de Beaufort & Barbara Theodora Boddaert;;Almelo;Pieter Anthony de Huybert ;;;;;;;;;;;;;;;;;;;;;
2124;;Jacques Menninga;Elyzabet Heilman;Jacques Menninga & Elyzabet Heilman;;Amsterdam;Gerardus Outhof ;;;;;;;;;;;;;;;;;;;;;
2125;1729;Bruno Le Brun;Anna Heilman;Bruno Le Brun & Anna Heilman;;Amsterdam;Gerardus Outhof ;;;;;;;;;;;;;;;;;;;;;
2126;;Jacques Menninga;Elyzabet Heilman;Jacques Menninga & Elyzabet Heilman;;Amsterdam;Wilhelm Otto Reitz ;;;;;;;;;;;;;;;;;;;;;
2127;1729;Bruno Le Brun;Anna Heilman;Bruno Le Brun & Anna Heilman;;Amsterdam;Wilhelm Otto Reitz ;;;;;;;;;;;;;;;;;;;;;
2128;;Jacques Crenier;Louisa Sabina Renaud;Jacques Crenier & Louisa Sabina Renaud;;Amsterdam;Willem van Swaanenburg ;;;;;;;;;;;;;;;;;;;;;
2129;1725;Daniel Collin;Anna Renaud;Daniel Collin & Anna Renaud;;Amsterdam;Willem van Swaanenburg ;;;;;;;;;;;;;;;;;;;;;
2130;;Roelandus van Thiel;Helena Ryser;Roelandus van Thiel & Helena Ryser;;Amsterdam;Simon Ryser ;Laurens Steversloot ;Jan Arnold van Orsoy ;;;;;;;;;;;;;;;;;;;
2131;1731;Reyer van Bleiswyk;Maria Ryser;Reyer van Bleiswyk & Maria Ryser;;Amsterdam;Simon Ryser ;Laurens Steversloot ;Jan Arnold van Orsoy ;;;;;;;;;;;;;;;;;;;
2132;1677;Gillis Booner;Cornelia Brandt;Gillis Booner & Cornelia Brandt;;Utrecht;Joannes G.L. Brandt ;;;;;;;;;;;;;;;;;;;;;
2133;;Herman van Gelé;Elisabeth Vingerhoedt;Herman van Gelé & Elisabeth Vingerhoedt;;Amsterdam;Kornelis van Koeverden ;;;;;;;;;;;;;;;;;;;;;
