0;Database;Jaar;Bruidegom;Bruid;Bruidspaar;Drukker;Plaats_druk;Plaats_huwelijk;Auteur1;Auteur2;Auteur3;Auteur4;Auteur5;Auteur6;Auteur7;Auteur8;Auteur9;Auteur10;Auteur11;Auteur12;Auteur13;Auteur14;Auteur15;Auteur16;Auteur17;Auteur18;Auteur19;Auteur20;Auteur21;Auteur22;Alleauteurs
1637;KB;1618.0;Nicolaas Jans;Margareta Stoffels;Nicolaas Jans & Margareta Stoffels;Paulus Aertsz van Ravesteyn;Amsterdam;Amsterdam;;;;;;;;;;;;;;;;;;;;;;;
1638;KB;1618.0;Hendrick van Dortmont;Catarina Assenborghs;Hendrick van Dortmont & Catarina Assenborghs;Paulus Aertsz van Ravesteyn;Amsterdam;Amsterdam;Joannes Roelants;;;;;;;;;;;;;;;;;;;;;;Joannes Roelants
1639;KB;1618.0;Caspar Celos;Helena Spees;Caspar Celos & Helena Spees;Paulus Aertsz van Ravesteyn;Amsterdam;Amsterdam;;;;;;;;;;;;;;;;;;;;;;;
1640;KB;1618.0;Justus Coppier;Jacoba van Teylingen;Justus Coppier & Jacoba van Teylingen;Paulus Aertsz van Ravesteyn;Amsterdam;Amsterdam;;;;;;;;;;;;;;;;;;;;;;;
1641;KB;1618.0;Anthoni Aertsz;Hillegont Laurensd;Anthoni Aertsz & Hillegont Laurensd;Paulus Aertsz van Ravesteyn;Amsterdam;Amsterdam;;;;;;;;;;;;;;;;;;;;;;;
1642;KB;1618.0;Daniel Martens;Geertruda Hem;Daniel Martens & Geertruda Hem;Paulus Aertsz van Ravesteyn;Amsterdam;Oudewater;;;;;;;;;;;;;;;;;;;;;;;
1892;KB;1618.0;Barent Bartholomeusen Poolman;Anneken Fermou;Barent Bartholomeusen Poolman & Anneken Fermou;Joris Veseler;Amsterdam;Amsterdam;;;;;;;;;;;;;;;;;;;;;;;
1893;KB;1618.0;Pieter Raye;Magdalena Poulle;Pieter Raye & Magdalena Poulle;Joris Veseler;Amsterdam;Nieuwkoop;;;;;;;;;;;;;;;;;;;;;;;
1894;KB;1618.0;Leunis Claesen;Geertruyt Jacobs;Leunis Claesen & Geertruyt Jacobs;Joris Veseler;Amsterdam;Nieuwkoop;;;;;;;;;;;;;;;;;;;;;;;
1895;KB;1618.0;Nicolaes Jaspers;Geertruyt van den Bergh;Nicolaes Jaspers & Geertruyt van den Bergh;Joris Veseler;Amsterdam;Abcoude;Meynert Pietersz Voskuyl;;;;;;;;;;;;;;;;;;;;;;Meynert Pietersz Voskuyl
1896;KB;1618.0;Isaac Pecreau;Maria van Raey;Isaac Pecreau & Maria van Raey;Joris Veseler;Amsterdam;;Thomas Jacobsz Sergeant;;;;;;;;;;;;;;;;;;;;;;Thomas Jacobsz Sergeant
2321;KB;1618.0;Gerrit Hendricksz Hudde;Maria Ionasd Witsz;Gerrit Hendricksz Hudde & Maria Ionasd Witsz;;;Amsterdam;Burgert van der Wael;;;;;;;;;;;;;;;;;;;;;;Burgert van der Wael
2322;KB;1618.0;Albertus van der Burgh;Anna Wolphaerts;Albertus van der Burgh & Anna Wolphaerts;;;Rotterdam;;;;;;;;;;;;;;;;;;;;;;;
2323;KB;1618.0;Otto Jansz van Buren;Clara Adriaensd Blocks;Otto Jansz van Buren & Clara Adriaensd Blocks;;;Amsterdam;;;;;;;;;;;;;;;;;;;;;;;
2324;KB;1618.0;Thomas Jacobsz Hoing;Brechtken Pieters Vinck;Thomas Jacobsz Hoing & Brechtken Pieters Vinck;;;;;;;;;;;;;;;;;;;;;;;;;;
2325;KB;1618.0;Jan Simonsz Keyser;Geertruytjen Jueriaens Mols;Jan Simonsz Keyser & Geertruytjen Jueriaens Mols;;;Haarlem;;;;;;;;;;;;;;;;;;;;;;;
3695;STCN;1618.0;Steven Doensz. Groenendijck;Annetgen Pieters de Lange;Steven Doensz. Groenendijck & Annetgen Pieters de Lange;Jasper Tournay;Gouda;;;;;;;;;;;;;;;;;;;;;;;;
496;KB;1619.0;Lucas van Valckenburgh;Susanna Coeymans;Lucas van Valckenburgh & Susanna Coeymans;Paulus Aertsz van Ravesteyn;Amsterdam;Amsterdam;Theodoor Rodenburg;;;;;;;;;;;;;;;;;;;;;;Theodoor Rodenburg
