0;Datum;Jaar;Bruidegom;Bruid;Drukker;Plaats;Auteur1;Auteur2;Auteur3;Auteur4;Auteur5;Auteur6;Auteur7;Auteur8;Auteur9;Auteur10;Auteur11;Auteur12;Auteur13;Auteur14;Auteur15;Auteur16;Auteur17;Auteur18;Auteur19;Auteur20;Auteur21;Auteur22
153;1728-07-11;1728;Egidius van der Hoop;Hester de Min;Pieter van den II Berge;;A. Wildeman ;D.A.A.G.;;;;;;;;;;;;;;;;;;;;
155;1715-05-12;1715;Goverd van Veldhuysen;Jacomina Christiaansen;Cornelis (wed en zoon) Boutesteyn;;Nicolaas van Poelgeest ;Johannes Schroder ;Hermanus van den Burg ;N.V.O.;Floris Schouten ;Felix de Klopper ;;;;;; ;;;;;;;;;;
156;1627-11-30;1627;Pieter Cornelisz Hooft;Eleonora Hellemans;Blaeu;Amsterdam;Joost van den Vondel ;;;;;;;;;;;;;;;;;;;;;
160;1723-08-17;1723;Jan Gijsbert de Mey;Kataryne van Gerwen;Boudewijn Janssoon van der II Aa;Hoorn;Laurens Steversloot ;Joan Doornik ;Johannes Schroder ;H.T.;;;;;;;;;;;;;;;;;;
162;1724-02-23;1724;Philippus Westerbaen;Welhelma Lookermans;Johan van Doesburg;Leiden;Johan van Doesburg ;;;;;;;;;;;;;;;;;;;;;
166;1720-11-07;1720;Adriaan Prins;Elizabeth Schepers;Michel Böhm;Rotterdam;Pieter van der Schelling ;;;;;;;;;;;;;;;;;;;;;
168;1715-06-12;1715;Dirk de Back;Jakoba van Kouwenhoven;Nicolaas Bos;Rotterdam;David van Hoogstraten ;Cornelius van Arckel ;J. de Back ;;;;;;;;;;;;;;;;;;;
169;1683-07-11;1683;David Barnaerts;Anna Keteling;Boeteman;Amsterdam;Anthony Jansen ;;;;;;;;;;;;;;;;;;;;;
170;1695-05-15;1695;Jacob van Beek;Gouda van Gent;Boeteman;;Anthony Jansen ;;;;;;;;;;;;;;;;;;;;;
171;1691-02-04;1691;Pieter van Beek;Katarina Aldeweerelt;Boeteman;Amsterdam;Anthony Jansen ;;;;;;;;;;;;;;;;;;;;;
172;1693-11-01;1693;Pieter van Beek;Klemencia Vollenhove;Boeteman;Wesel;Anthony Jansen ;;;;;;;;;;;;;;;;;;;;;
173;1688-12-12;1688;Pieter Beets;Maria Roosekrans;Boeteman;Amsterdam;Anthony Jansen ;A. Henstenburg ;;;;;;;;;;;;;;;;;;;;
174;1690-11-19;1690;Vredenryk Beets;Sara Vorsterman;Boeteman;Middelharnis;Anthony Jansen ;;;;;;;;;;;;;;;;;;;;;
175;1693-00-00;1693;Izaak van Beuningen;Maria Ehmens;Boeteman;Amsterdam;Anthony Jansen ;;;;;;;;;;;;;;;;;;;;;
176;1694-02-21;1694;Abraham Blaaupot;Elisabeth Bruin;Boeteman;Dordrecht;Anthony Jansen ;;;;;;;;;;;;;;;;;;;;;
177;1690-02-19;1690;Theodorus van Born;Maria van der Schuuren;Boeteman;Rotterdam;Anthony Jansen ;;;;;;;;;;;;;;;;;;;;;
178;1640-10-14;1640;Jan Jacobsz Bouman;Aeltie Broers;Joost Broersz;Amsterdam;;;;;;;;;;;;;;;;;;;;;;
180;1695-12-04;1695;Sieuwert Centen;Johanna Bruyn;Boeteman;;Anthony Jansen ;;;;;;;;;;;;;;;;;;;;;
181;1693-04-07;1693;Izaak Daams;Alida Roermond;Boeteman;;Anthony I.U. Jansen ;;;;;;;;;;;;;;;;;;;;;
182;1691-01-07;1691;Andries van Dale;Maria Dop;Boeteman;Amsterdam;Anthony Jansen ;;;;;;;;;;;;;;;;;;;;;
183;1698-03-18;1698;Hieronymus Simonsz van Alphen;Martina Biler;Gerardus I Borstius;;J. Costius ;;;;;;;;;;;;;;;;;;;;;
